State,City,City Population,FacebookPlaceId,Lon,Lat,Is300MilesFromCC
TX,Buffalo,1892,,,,
TX,San Augustine,1886,,,,
TX,Meadowlakes,1879,,,,
TX,Shamrock,1870,,,,
TX,Ralls,1862,,,,
TX,Goldthwaite,1861,,,,
TX,Laughlin AFB,1860,,,,
TX,Somerset,1859,,,,
TX,"Sour Lake, Ingram, and Southside Place",1854,,,,
TX,Haslet,1844,,,,
TX,Shadybrook,1828,,,,
TX,Quitman,1824,,,,
TX,Stinnett,1813,,,,
TX,Charlotte,1812,,,,
TX,Morton,1811,,,,
TX,Bovina,1807,,,,
TX,Seth Ward,1798,,,,
TX,Collinsville,1791,,,,
TX,Las Palmas II and Clarendon,1780,,,,
TX,Marfa,1772,,,,
TX,Danbury,1769,,,,
TX,Lorena,1761,,,,
TX,Archer City,1754,,,,
TX,Pelican Bay,1750,,,,
TX,Rhome,1747,,,,
TX,Gardendale,1744,,,,
TX,Woodcreek,1742,,,,
TX,Brackettville,1740,,,,
TX,Lowry Crossing and Hughes Springs,1737,,,,
TX,Bartonville,1732,,,,
TX,Holliday,1724,,,,
TX,Briarcliff,1718,,,,
TX,Grandview,1706,,,,
TX,La Grulla,1700,,,,
TX,Sabinal,1696,,,,
TX,Krugerville,1695,,,,
TX,Eldorado,1691,,,,
TX,Itasca and Evadale,1686,,,,
TX,Honey Grove and Whitewright,1678,,,,
TX,Porter Heights,1672,,,,
TX,Milam,1671,,,,
TX,Lockney,1669,,,,
TX,Garfield,1663,,,,
TX,Encantada-Ranchito-El Calaboz,1659,,,,
TX,Crosbyton,1657,,,,
TX,Josephine,1644,,,,
TX,Pinewood Estates,1638,,,,
TX,De Kalb,1630,,,,
TX,Franklin,1627,,,,
TX,Quail Creek and Bayou Vista,1624,,,,
TX,Plains,1616,,,,
TX,Monte Alto,1613,,,,
TX,Shoreacres,1608,,,,
TX,Fulton,1604,,,,
TX,Uvalde Estates,1602,,,,
TX,Muenster,1601,,,,
TX,Heidelberg,1589,,,,
TX,Brookside Village,1588,,,,
TX,Laguna Park,1586,,,,
TX,Stockdale,1583,,,,
TX,Corrigan,1582,,,,
TX,Sebastian,1577,,,,
TX,Muniz,1574,,,,
TX,Wheeler,1573,,,,
TX,Bangs,1567,,,,
TX,Caddo Mills,1566,,,,
TX,Blossom,1564,,,,
TX,Rollingwood,1560,,,,
TX,Booker,1557,,,,
TX,Natalia,1548,,,,
TX,Bruceville-Eddy,1546,,,,
TX,Jarrell,1541,,,,
TX,Elmo,1532,,,,
TX,Kerens,1531,,,,
TX,Granger,1517,,,,
